group,experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
1,baseline,DLinear,ETTh2,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.5929315686225891,0.5421717166900635,30,2026-03-09 16:32:33
1,baseline,DLinear,ETTh2,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.3429639041423797,0.3966805636882782,30,2026-03-09 16:32:33
1,baseline,DLinear,ETTh2,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.3414475321769714,0.3952931761741638,33,2026-03-09 16:32:36
1,baseline,DLinear,ETTh1,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.4874500036239624,0.4654593467712402,34,2026-03-09 16:32:37
1,baseline,DLinear,ETTh2,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.5808380842208862,0.5357903838157654,35,2026-03-09 16:32:38
1,baseline,DLinear,ETTh1,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.3954680562019348,0.4103050529956817,36,2026-03-09 16:32:39
1,baseline,DLinear,ETTh2,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.3510926365852356,0.4029801189899444,37,2026-03-09 16:32:40
1,baseline,DLinear,ETTh1,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.4874104261398315,0.4654037654399872,37,2026-03-09 16:32:40
1,baseline,DLinear,ETTh1,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.486869752407074,0.4649213850498199,40,2026-03-09 16:32:43
1,baseline,DLinear,ETTh2,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.6023935079574585,0.5457181334495544,40,2026-03-09 16:32:43
1,baseline,DLinear,ETTh1,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.3976009488105774,0.4122239649295807,42,2026-03-09 16:33:03
1,baseline,DLinear,ETTm1,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.3459462523460388,0.3737089335918426,63,2026-03-09 16:33:06
1,baseline,DLinear,ETTh1,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.3961580693721771,0.4108411967754364,45,2026-03-09 16:33:06
1,baseline,DLinear,ETTm1,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.3452924191951751,0.3719123899936676,80,2026-03-09 16:33:23
1,baseline,DLinear,ETTm1,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.3453782498836517,0.3719723224639892,81,2026-03-09 16:33:24
1,baseline,DLinear,ETTm2,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.1909642666578292,0.2892410159111023,51,2026-03-09 16:33:54
1,baseline,DLinear,ETTm2,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.3751390874385834,0.4220036566257477,53,2026-03-09 16:33:59
1,baseline,DLinear,ETTm1,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.4152669012546539,0.4150264263153076,60,2026-03-09 16:33:59
1,baseline,DLinear,ETTm2,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.1934284567832946,0.292817085981369,59,2026-03-09 16:34:01
1,baseline,DLinear,ETTm2,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.3849274218082428,0.4294671416282654,56,2026-03-09 16:34:01
1,baseline,DLinear,ETTm1,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.4133463203907013,0.4130905270576477,63,2026-03-09 16:34:02
1,baseline,DLinear,ETTm2,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.19521464407444,0.2948095798492431,60,2026-03-09 16:34:04
1,baseline,DLinear,ETTm1,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.4138513803482055,0.4138355553150177,64,2026-03-09 16:34:05
1,baseline,DLinear,Weather,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.1964689493179321,0.2589033544063568,58,2026-03-09 16:34:07
1,baseline,DLinear,ETTm2,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.384463220834732,0.4277086555957794,63,2026-03-09 16:34:09
1,baseline,DLinear,Weather,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.196770429611206,0.2592284381389618,63,2026-03-09 16:34:11
1,baseline,DLinear,Weather,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.1962200999259948,0.2561099231243133,74,2026-03-09 16:34:20
1,baseline,DLinear,Weather,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.2810532450675964,0.3305884301662445,81,2026-03-09 16:34:52
1,baseline,DLinear,Weather,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.2819915413856506,0.3317079842090606,98,2026-03-09 16:35:28
1,baseline,DLinear,Weather,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.281845360994339,0.3315663635730743,101,2026-03-09 16:35:29
1,baseline,SegRNN,ETTh1,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.3728362917900085,0.3982914686203003,52,2026-03-09 16:36:09
1,baseline,SegRNN,ETTh1,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.3751285672187805,0.3998768925666809,41,2026-03-09 16:36:35
1,baseline,SegRNN,ETTh1,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.3749196529388428,0.3997296690940857,44,2026-03-09 16:36:39
1,baseline,DLinear,Electricity,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.2103679627180099,0.3015490770339966,143,2026-03-09 16:36:43
1,baseline,DLinear,Electricity,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.2102971374988556,0.3014651834964752,139,2026-03-09 16:36:44
1,baseline,DLinear,Electricity,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.2104123383760452,0.3016297221183777,146,2026-03-09 16:36:52
1,baseline,SegRNN,ETTh1,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.4563104808330536,0.4436960518360138,45,2026-03-09 16:37:20
1,baseline,DLinear,Traffic,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.6963860988616943,0.4285494387149811,183,2026-03-09 16:37:34
1,baseline,DLinear,Traffic,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.6965416073799133,0.4287469089031219,185,2026-03-09 16:37:35
1,baseline,DLinear,Traffic,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.6965391635894775,0.4288296699523926,186,2026-03-09 16:37:38
1,baseline,SegRNN,ETTh2,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.2927711904048919,0.3483842611312866,31,2026-03-09 16:37:41
1,baseline,SegRNN,ETTh1,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.4552458822727203,0.4432075619697571,41,2026-03-09 16:37:42
1,baseline,SegRNN,ETTh1,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.4540707767009735,0.4428073465824127,42,2026-03-09 16:37:47
1,baseline,SegRNN,ETTh2,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.2918326556682586,0.3480232059955597,39,2026-03-09 16:37:49
1,baseline,SegRNN,ETTh2,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.2942517399787903,0.3500765562057495,40,2026-03-09 16:38:00
1,baseline,DLinear,Electricity,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.2230052202939987,0.3191001713275909,220,2026-03-09 16:38:08
1,baseline,SegRNN,ETTh2,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.4220800995826721,0.4389735758304596,35,2026-03-09 16:38:21
1,baseline,SegRNN,ETTh2,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.4264871776103973,0.4464603960514068,30,2026-03-09 16:38:30
1,baseline,SegRNN,ETTh2,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.4247964322566986,0.4422381818294525,29,2026-03-09 16:38:31
1,baseline,SegRNN,ETTm1,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.3314228355884552,0.3710297346115112,99,2026-03-09 16:39:43
1,baseline,SegRNN,ETTm1,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.3301794528961181,0.3705179989337921,98,2026-03-09 16:39:45
1,baseline,SegRNN,ETTm2,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.172886237502098,0.2551244795322418,87,2026-03-09 16:40:01
1,baseline,SegRNN,ETTm1,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.330523282289505,0.3701656758785248,113,2026-03-09 16:40:01
1,baseline,SegRNN,ETTm1,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.3978195190429687,0.4116866588592529,99,2026-03-09 16:40:06
1,baseline,DLinear,Traffic,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.6530725955963135,0.409732311964035,336,2026-03-09 16:40:13
1,baseline,SegRNN,ETTm1,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.3977310061454773,0.4116200506687164,125,2026-03-09 16:40:18
1,baseline,SegRNN,ETTm1,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.3977507352828979,0.4113090336322784,127,2026-03-09 16:40:22
1,baseline,SegRNN,ETTm2,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.1728171557188034,0.2550859153270721,108,2026-03-09 16:40:22
1,baseline,SegRNN,ETTm2,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.1726227849721908,0.2549330294132232,107,2026-03-09 16:40:29
1,baseline,DLinear,Traffic,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.6533231735229492,0.4098588526248932,345,2026-03-09 16:40:30
1,baseline,SegRNN,ETTm2,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.2952445447444916,0.3338517546653747,98,2026-03-09 16:40:35
