experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
baseline,DLinear,ETTh2,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.5929315686225891,0.5421717166900635,30,2026-03-09 16:32:33
baseline,DLinear,ETTh2,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.3429639041423797,0.3966805636882782,30,2026-03-09 16:32:33
baseline,DLinear,ETTh2,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.3414475321769714,0.3952931761741638,33,2026-03-09 16:32:36
baseline,DLinear,ETTh1,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.4874500036239624,0.4654593467712402,34,2026-03-09 16:32:37
baseline,DLinear,ETTh2,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.5808380842208862,0.5357903838157654,35,2026-03-09 16:32:38
baseline,DLinear,ETTh1,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.3954680562019348,0.4103050529956817,36,2026-03-09 16:32:39
baseline,DLinear,ETTh2,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.3510926365852356,0.4029801189899444,37,2026-03-09 16:32:40
baseline,DLinear,ETTh1,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.4874104261398315,0.4654037654399872,37,2026-03-09 16:32:40
baseline,DLinear,ETTh1,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.486869752407074,0.4649213850498199,40,2026-03-09 16:32:43
baseline,DLinear,ETTh2,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.6023935079574585,0.5457181334495544,40,2026-03-09 16:32:43
baseline,DLinear,ETTh1,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.3976009488105774,0.4122239649295807,42,2026-03-09 16:33:03
baseline,DLinear,ETTm1,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.3459462523460388,0.3737089335918426,63,2026-03-09 16:33:06
baseline,DLinear,ETTh1,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.3961580693721771,0.4108411967754364,45,2026-03-09 16:33:06
baseline,DLinear,ETTm1,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.3452924191951751,0.3719123899936676,80,2026-03-09 16:33:23
baseline,DLinear,ETTm1,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.3453782498836517,0.3719723224639892,81,2026-03-09 16:33:24
baseline,DLinear,ETTm2,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.1909642666578292,0.2892410159111023,51,2026-03-09 16:33:54
baseline,DLinear,ETTm2,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.3751390874385834,0.4220036566257477,53,2026-03-09 16:33:59
baseline,DLinear,ETTm1,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.4152669012546539,0.4150264263153076,60,2026-03-09 16:33:59
baseline,DLinear,ETTm2,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.1934284567832946,0.292817085981369,59,2026-03-09 16:34:01
baseline,DLinear,ETTm2,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.3849274218082428,0.4294671416282654,56,2026-03-09 16:34:01
baseline,DLinear,ETTm1,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.4133463203907013,0.4130905270576477,63,2026-03-09 16:34:02
baseline,DLinear,ETTm2,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.19521464407444,0.2948095798492431,60,2026-03-09 16:34:04
baseline,DLinear,ETTm1,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.4138513803482055,0.4138355553150177,64,2026-03-09 16:34:05
baseline,DLinear,Weather,96,2023,real,0.0,1.0,none,all,0.0,none,0,0.1964689493179321,0.2589033544063568,58,2026-03-09 16:34:07
baseline,DLinear,ETTm2,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.384463220834732,0.4277086555957794,63,2026-03-09 16:34:09
baseline,DLinear,Weather,96,2022,real,0.0,1.0,none,all,0.0,none,0,0.196770429611206,0.2592284381389618,63,2026-03-09 16:34:11
baseline,DLinear,Weather,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.1962200999259948,0.2561099231243133,74,2026-03-09 16:34:20
baseline,DLinear,Weather,336,2021,real,0.0,1.0,none,all,0.0,none,0,0.2810532450675964,0.3305884301662445,81,2026-03-09 16:34:52
baseline,DLinear,Weather,336,2023,real,0.0,1.0,none,all,0.0,none,0,0.2819915413856506,0.3317079842090606,98,2026-03-09 16:35:28
baseline,DLinear,Weather,336,2022,real,0.0,1.0,none,all,0.0,none,0,0.281845360994339,0.3315663635730743,101,2026-03-09 16:35:29
baseline,SegRNN,ETTh1,96,2021,real,0.0,1.0,none,all,0.0,none,0,0.3728362917900085,0.3982914686203003,52,2026-03-09 16:36:09
