experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
sparsity,DLinear,ETTh1,96,2021,real,0.0,0.1,none,all,0.0,none,0,0.5396875739097595,0.4911259412765503,37,2026-03-09 17:58:55
sparsity,DLinear,ETTh1,96,2022,real,0.0,0.1,none,all,0.0,none,0,0.5365816354751587,0.4901948571205139,37,2026-03-09 17:59:08
sparsity,DLinear,ETTh1,96,2023,real,0.0,0.1,none,all,0.0,none,0,0.5359058976173401,0.4893537759780884,36,2026-03-09 17:59:57
sparsity,DLinear,ETTh1,96,2021,real,0.0,0.25,none,all,0.0,none,0,0.4526600837707519,0.4468385875225067,37,2026-03-09 18:00:11
sparsity,DLinear,ETTh1,96,2022,real,0.0,0.25,none,all,0.0,none,0,0.4512300193309784,0.4462154805660248,40,2026-03-09 18:00:41
sparsity,DLinear,ETTh1,96,2023,real,0.0,0.25,none,all,0.0,none,0,0.4503687620162964,0.4456543028354645,38,2026-03-09 18:01:01
sparsity,DLinear,ETTh1,96,2021,real,0.0,0.5,none,all,0.0,none,0,0.4150618314743042,0.4256447851657867,40,2026-03-09 18:01:17
sparsity,DLinear,ETTh1,96,2022,real,0.0,0.5,none,all,0.0,none,0,0.4159707129001617,0.4260202944278717,39,2026-03-09 18:01:46
sparsity,DLinear,ETTh1,96,2023,real,0.0,0.5,none,all,0.0,none,0,0.4140009880065918,0.4250456988811493,39,2026-03-09 18:02:06
sparsity,DLinear,ETTh1,336,2021,real,0.0,0.1,none,all,0.0,none,0,0.5936623811721802,0.5300384163856506,39,2026-03-09 18:02:22
sparsity,DLinear,ETTh1,336,2022,real,0.0,0.1,none,all,0.0,none,0,0.5941756367683411,0.5301000475883484,39,2026-03-09 18:02:51
sparsity,DLinear,ETTh1,336,2023,real,0.0,0.1,none,all,0.0,none,0,0.5945510864257812,0.5305047631263733,37,2026-03-09 18:03:09
sparsity,DLinear,ETTh1,336,2021,real,0.0,0.25,none,all,0.0,none,0,0.5272473692893982,0.4926511645317077,40,2026-03-09 18:03:28
sparsity,DLinear,ETTh1,336,2022,real,0.0,0.25,none,all,0.0,none,0,0.5277299284934998,0.4930788278579712,40,2026-03-09 18:03:58
sparsity,DLinear,ETTh1,336,2023,real,0.0,0.25,none,all,0.0,none,0,0.5277607440948486,0.4930925369262695,40,2026-03-09 18:04:15
sparsity,DLinear,ETTh1,336,2021,real,0.0,0.5,none,all,0.0,none,0,0.5005773901939392,0.4758350849151611,44,2026-03-09 18:04:39
sparsity,DLinear,ETTh1,336,2022,real,0.0,0.5,none,all,0.0,none,0,0.5009856820106506,0.4762230515480041,44,2026-03-09 18:05:08
sparsity,DLinear,ETTh1,336,2023,real,0.0,0.5,none,all,0.0,none,0,0.5009430646896362,0.4761712551116943,42,2026-03-09 18:05:23
sparsity,DLinear,ETTh2,96,2021,real,0.0,0.1,none,all,0.0,none,0,0.3923319578170776,0.4379089474678039,36,2026-03-09 18:05:41
sparsity,DLinear,ETTh2,96,2022,real,0.0,0.1,none,all,0.0,none,0,0.3987403810024261,0.4428228139877319,32,2026-03-09 18:06:07
sparsity,DLinear,ETTh2,96,2023,real,0.0,0.1,none,all,0.0,none,0,0.408275693655014,0.4492365717887878,31,2026-03-09 18:06:19
sparsity,DLinear,ETTh2,96,2022,real,0.0,0.25,none,all,0.0,none,0,0.3798933029174804,0.4278340637683868,34,2026-03-09 18:07:07
sparsity,DLinear,ETTh2,96,2023,real,0.0,0.25,none,all,0.0,none,0,0.386271983385086,0.4316871464252472,29,2026-03-09 18:07:09
sparsity,DLinear,ETTh2,96,2022,real,0.0,0.5,none,all,0.0,none,0,0.3798933029174804,0.4278340637683868,29,2026-03-09 18:07:13
sparsity,DLinear,ETTh2,96,2021,real,0.0,0.5,none,all,0.0,none,0,0.3652521669864654,0.4155401885509491,30,2026-03-09 18:07:15
sparsity,DLinear,ETTh2,96,2023,real,0.0,0.5,none,all,0.0,none,0,0.386271983385086,0.4316871464252472,29,2026-03-09 18:07:16
sparsity,DLinear,ETTh2,336,2021,real,0.0,0.1,none,all,0.0,none,0,0.5234105587005615,0.5153416991233826,29,2026-03-09 18:07:29
sparsity,DLinear,ETTh2,336,2023,real,0.0,0.1,none,all,0.0,none,0,0.5251875519752502,0.5165781378746033,26,2026-03-09 18:07:59
sparsity,DLinear,ETTh2,336,2021,real,0.0,0.25,none,all,0.0,none,0,0.6041510701179504,0.5521408915519714,27,2026-03-09 18:08:02
sparsity,DLinear,ETTh2,336,2021,real,0.0,0.5,none,all,0.0,none,0,0.6054340600967407,0.5495723485946655,30,2026-03-09 18:08:13
sparsity,DLinear,ETTh2,336,2022,real,0.0,0.5,none,all,0.0,none,0,0.627598226070404,0.564562976360321,34,2026-03-09 18:08:29
sparsity,DLinear,ETTh2,336,2023,real,0.0,0.5,none,all,0.0,none,0,0.6071871519088745,0.5511603951454163,36,2026-03-09 18:08:44
sparsity,DLinear,ETTm1,96,2021,real,0.0,0.1,none,all,0.0,none,0,0.4023025333881378,0.411772221326828,52,2026-03-09 18:09:17
sparsity,DLinear,ETTm1,96,2021,real,0.0,0.25,none,all,0.0,none,0,0.3636401891708374,0.3854194581508636,58,2026-03-09 18:09:34
sparsity,DLinear,ETTm1,96,2021,real,0.0,0.5,none,all,0.0,none,0,0.3501441478729248,0.3755367696285248,66,2026-03-09 18:10:00
sparsity,DLinear,ETTm1,96,2022,real,0.0,0.5,none,all,0.0,none,0,0.3502538204193115,0.3756265938282013,65,2026-03-09 18:10:15
sparsity,DLinear,ETTm1,96,2023,real,0.0,0.5,none,all,0.0,none,0,0.3502182960510254,0.3755789697170257,72,2026-03-09 18:10:27
sparsity,DLinear,ETTm1,336,2023,real,0.0,0.1,none,all,0.0,none,0,0.4671054184436798,0.4490843117237091,59,2026-03-09 18:10:49
sparsity,DLinear,ETTm1,336,2021,real,0.0,0.25,none,all,0.0,none,0,0.4257460236549377,0.4225163757801056,63,2026-03-09 18:11:03
sparsity,DLinear,ETTm1,336,2021,real,0.0,0.5,none,all,0.0,none,0,0.4171173572540283,0.4165620505809784,65,2026-03-09 18:11:31
sparsity,DLinear,ETTm1,336,2022,real,0.0,0.5,none,all,0.0,none,0,0.4159355461597442,0.4147852063179016,78,2026-03-09 18:11:59
sparsity,DLinear,ETTm2,96,2022,real,0.0,0.1,none,all,0.0,none,0,0.2153649777173996,0.3173412978649139,51,2026-03-09 18:12:02
sparsity,DLinear,ETTm1,336,2023,real,0.0,0.5,none,all,0.0,none,0,0.4160489737987518,0.4149407744407654,71,2026-03-09 18:12:04
sparsity,DLinear,ETTm2,96,2023,real,0.0,0.1,none,all,0.0,none,0,0.2174811512231826,0.3193455934524536,51,2026-03-09 18:12:05
sparsity,DLinear,ETTm2,96,2023,real,0.0,0.25,none,all,0.0,none,0,0.2174811512231826,0.3193455934524536,51,2026-03-09 18:12:27
