experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
augmentation,DLinear,ETTh1,96,2022,mixed,0.25,1.0,uniform,all,0.0,none,0,0.4147365391254425,0.4274725019931793,63,2026-03-09 20:52:10
augmentation,DLinear,ETTh1,96,2021,mixed,0.5,1.0,uniform,all,0.0,none,0,0.4533601701259613,0.4513731002807617,109,2026-03-09 20:53:41
augmentation,DLinear,ETTh1,96,2022,mixed,0.5,1.0,uniform,all,0.0,none,0,0.455143541097641,0.4558670222759247,87,2026-03-09 20:53:54
augmentation,DLinear,ETTh1,96,2023,mixed,0.5,1.0,uniform,all,0.0,none,0,0.4535689353942871,0.4526551961898803,110,2026-03-09 20:54:17
augmentation,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4465624094009399,0.4493256211280823,149,2026-03-09 20:55:05
augmentation,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4455422461032867,0.4486408829689026,172,2026-03-09 20:55:27
augmentation,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.447266161441803,0.4510000646114349,159,2026-03-09 20:55:38
augmentation,DLinear,ETTh1,336,2022,mixed,0.25,1.0,uniform,all,0.0,none,0,0.500619113445282,0.4765236377716064,86,2026-03-09 20:55:48
augmentation,DLinear,ETTh1,336,2023,mixed,0.5,1.0,uniform,all,0.0,none,0,0.5465357303619385,0.5055896043777466,112,2026-03-09 20:57:56
augmentation,DLinear,ETTh1,336,2022,mixed,0.5,1.0,uniform,all,0.0,none,0,0.5273934006690979,0.4976356327533722,146,2026-03-09 20:58:18
augmentation,DLinear,ETTh1,336,2021,mixed,0.5,1.0,uniform,all,0.0,none,0,0.5302525758743286,0.4978751242160797,171,2026-03-09 20:58:23
augmentation,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5302525758743286,0.4978751242160797,166,2026-03-09 20:59:02
augmentation,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5273934006690979,0.4976356327533722,211,2026-03-09 20:59:46
augmentation,DLinear,ETTh2,96,2023,mixed,0.5,1.0,uniform,all,0.0,none,0,0.4165620803833008,0.4442912340164184,66,2026-03-09 21:00:26
augmentation,DLinear,ETTh2,96,2022,mixed,0.5,1.0,uniform,all,0.0,none,0,0.4477003216743469,0.4644217789173126,74,2026-03-09 21:00:29
augmentation,DLinear,ETTh2,336,2021,mixed,0.25,1.0,uniform,all,0.0,none,0,0.5727841258049011,0.5324228405952454,68,2026-03-09 21:00:50
augmentation,DLinear,ETTh2,96,2021,mixed,0.5,1.0,uniform,all,0.0,none,0,0.4152995347976684,0.4437842667102813,106,2026-03-09 21:00:58
augmentation,DLinear,ETTh2,96,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4165620803833008,0.4442912340164184,92,2026-03-09 21:01:08
augmentation,DLinear,ETTh2,96,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4152995347976684,0.4437842667102813,106,2026-03-09 21:01:13
augmentation,DLinear,ETTh2,96,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4323238730430603,0.4527000188827514,119,2026-03-09 21:01:29
augmentation,DLinear,ETTh2,336,2021,mixed,0.5,1.0,uniform,all,0.0,none,0,0.6225891709327698,0.5562753081321716,109,2026-03-09 21:02:02
augmentation,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5203277468681335,0.4908922612667084,321,2026-03-09 21:02:04
augmentation,DLinear,ETTh2,336,2023,mixed,0.5,1.0,uniform,all,0.0,none,0,0.6168389916419983,0.5552809834480286,100,2026-03-09 21:02:32
