experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
lowresource,iTransformer,Weather,336,2021,mixed,0.5,0.25,uniform,all,0.0,none,0,0.2833390831947326,0.3034712970256805,2042,2026-03-09 17:17:45
lowresource,iTransformer,Weather,336,2023,mixed,2.0,0.1,uniform,all,0.0,none,0,0.2912300825119018,0.3127593994140625,6799,2026-03-09 18:35:55
lowresource,iTransformer,Weather,336,2022,mixed,0.5,0.25,uniform,all,0.0,none,0,0.2843419909477234,0.3040054142475128,2043,2026-03-10 18:16:57
lowresource,iTransformer,Weather,336,2023,mixed,0.5,0.25,uniform,all,0.0,none,0,0.2836087048053741,0.3031714856624603,2016,2026-03-10 18:21:03
lowresource,DLinear,ETTh1,96,2021,mixed,0.5,0.1,uniform,all,0.0,none,0,0.5517560839653015,0.5028630495071411,106,2026-03-12 01:23:19
lowresource,DLinear,ETTh1,96,2022,mixed,0.5,0.1,uniform,all,0.0,none,0,0.5503939390182495,0.5022724270820618,115,2026-03-12 01:25:41
lowresource,DLinear,ETTh1,96,2023,mixed,0.5,0.1,uniform,all,0.0,none,0,0.5519812107086182,0.5028048753738403,119,2026-03-12 01:28:07
lowresource,DLinear,ETTh1,96,2021,mixed,1.0,0.1,uniform,all,0.0,none,0,0.551758348941803,0.503947377204895,181,2026-03-12 01:31:34
lowresource,DLinear,ETTh1,96,2022,mixed,1.0,0.1,uniform,all,0.0,none,0,0.5525639653205872,0.5046453475952148,197,2026-03-12 01:35:17
lowresource,DLinear,ETTh1,96,2023,mixed,1.0,0.1,uniform,all,0.0,none,0,0.5481260418891907,0.5015876889228821,199,2026-03-12 01:37:22
lowresource,DLinear,ETTh1,96,2021,mixed,2.0,0.1,uniform,all,0.0,none,0,0.5646473169326782,0.5109688639640808,312,2026-03-12 01:40:57
lowresource,DLinear,ETTh1,96,2021,mixed,0.5,0.25,uniform,all,0.0,none,0,0.504119336605072,0.4789619743824005,110,2026-03-12 01:43:14
lowresource,DLinear,ETTh1,96,2023,mixed,0.5,0.25,uniform,all,0.0,none,0,0.5076589584350586,0.4818684756755829,116,2026-03-12 01:46:07
lowresource,DLinear,ETTh1,96,2021,mixed,1.0,0.25,uniform,all,0.0,none,0,0.5215360522270203,0.4894966185092926,174,2026-03-12 01:48:59
lowresource,DLinear,ETTh1,96,2022,mixed,1.0,0.25,uniform,all,0.0,none,0,0.5199848413467407,0.488341748714447,187,2026-03-12 01:49:13
lowresource,DLinear,ETTh1,96,2023,mixed,1.0,0.25,uniform,all,0.0,none,0,0.5207182765007019,0.4892729520797729,191,2026-03-12 01:49:44
