experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
difficulty,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4455422461032867,0.4486408829689026,178,2026-03-15 21:14:02
difficulty,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4465624094009399,0.4493256211280823,167,2026-03-15 21:15:51
difficulty,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.447266161441803,0.4510000646114349,170,2026-03-15 21:16:55
difficulty,DLinear,ETTh1,96,2021,mixed,1.0,1.0,easy,all,0.0,none,0,0.4565888941287994,0.4724746346473694,164,2026-03-15 21:17:12
difficulty,DLinear,ETTh1,96,2022,mixed,1.0,1.0,easy,all,0.0,none,0,0.4584177434444427,0.4748376607894897,150,2026-03-15 21:18:47
difficulty,DLinear,ETTh1,96,2023,mixed,1.0,1.0,easy,all,0.0,none,0,0.4503321945667267,0.4669552743434906,171,2026-03-15 21:20:12
difficulty,DLinear,ETTh1,96,2021,mixed,1.0,1.0,medium,all,0.0,none,0,0.4405360221862793,0.4475822448730469,188,2026-03-15 21:20:46
difficulty,DLinear,ETTh1,96,2022,mixed,1.0,1.0,medium,all,0.0,none,0,0.4419075846672058,0.4489697515964508,146,2026-03-15 21:21:39
difficulty,DLinear,ETTh1,96,2023,mixed,1.0,1.0,medium,all,0.0,none,0,0.4394562244415283,0.4468717277050018,201,2026-03-15 21:23:25
difficulty,DLinear,ETTh1,96,2021,mixed,1.0,1.0,hard,all,0.0,none,0,0.4687039256095886,0.4563814699649811,181,2026-03-15 21:23:40
difficulty,DLinear,ETTh1,96,2022,mixed,1.0,1.0,hard,all,0.0,none,0,0.4706860482692718,0.4580558836460113,151,2026-03-15 21:23:43
difficulty,DLinear,ETTh1,96,2023,mixed,1.0,1.0,hard,all,0.0,none,0,0.4703149795532226,0.4573581516742706,191,2026-03-15 21:25:16
difficulty,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5302525758743286,0.4978751242160797,173,2026-03-15 21:26:44
difficulty,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5273934006690979,0.4976356327533722,200,2026-03-15 21:27:26
difficulty,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5203277468681335,0.4908922612667084,317,2026-03-15 21:29:26
difficulty,DLinear,ETTh1,336,2022,mixed,1.0,1.0,easy,all,0.0,none,0,0.5783839821815491,0.5442365407943726,177,2026-03-15 21:30:07
difficulty,DLinear,ETTh1,336,2021,mixed,1.0,1.0,easy,all,0.0,none,0,0.5615392327308655,0.5319703817367554,281,2026-03-15 21:30:23
difficulty,DLinear,ETTh1,336,2023,mixed,1.0,1.0,easy,all,0.0,none,0,0.5713323354721069,0.5389687418937683,230,2026-03-15 21:31:43
difficulty,DLinear,ETTh1,336,2021,mixed,1.0,1.0,medium,all,0.0,none,0,0.531477689743042,0.5024580359458923,172,2026-03-15 21:32:45
difficulty,DLinear,ETTh1,336,2022,mixed,1.0,1.0,medium,all,0.0,none,0,0.5334481000900269,0.5035482048988342,174,2026-03-15 21:33:27
difficulty,DLinear,ETTh1,336,2023,mixed,1.0,1.0,medium,all,0.0,none,0,0.5233415961265564,0.4956900775432586,235,2026-03-15 21:34:45
difficulty,DLinear,ETTh1,336,2021,mixed,1.0,1.0,hard,all,0.0,none,0,0.5356681942939758,0.4962522387504577,248,2026-03-15 21:36:17
difficulty,DLinear,ETTh1,336,2023,mixed,1.0,1.0,hard,all,0.0,none,0,0.5448559522628784,0.5022099614143372,187,2026-03-15 21:37:00
difficulty,DLinear,ETTh1,336,2022,mixed,1.0,1.0,hard,all,0.0,none,0,0.5343202352523804,0.4947150647640228,247,2026-03-15 21:37:18
difficulty,DLinear,ETTm1,96,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4285994470119476,0.4484274983406067,386,2026-03-15 21:41:37
difficulty,DLinear,ETTm1,96,2021,mixed,1.0,1.0,easy,all,0.0,none,0,0.4285994470119476,0.4484274983406067,369,2026-03-15 21:43:53
difficulty,DLinear,ETTm1,96,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4893903136253357,0.4646159708499908,511,2026-03-15 21:45:57
difficulty,DLinear,ETTm1,96,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4329535067081451,0.4529404938220978,593,2026-03-15 21:46:37
difficulty,DLinear,ETTm1,96,2022,mixed,1.0,1.0,easy,all,0.0,none,0,0.4811878800392151,0.4623194336891174,566,2026-03-15 21:51:30
difficulty,DLinear,ETTm1,96,2023,mixed,1.0,1.0,easy,all,0.0,none,0,0.4811100661754608,0.4623706638813019,510,2026-03-15 21:52:49
difficulty,DLinear,ETTm1,96,2021,mixed,1.0,1.0,medium,all,0.0,none,0,0.5368510484695435,0.4815192222595215,387,2026-03-15 21:52:50
difficulty,DLinear,ETTm1,96,2023,mixed,1.0,1.0,medium,all,0.0,none,0,0.4811100661754608,0.4623706638813019,369,2026-03-15 21:53:12
difficulty,DLinear,ETTm1,96,2022,mixed,1.0,1.0,medium,all,0.0,none,0,0.5422479510307312,0.483566403388977,457,2026-03-15 21:54:10
difficulty,DLinear,ETTm1,96,2021,mixed,1.0,1.0,hard,all,0.0,none,0,0.5368510484695435,0.4815192222595215,467,2026-03-15 21:55:40
difficulty,DLinear,ETTm1,96,2022,mixed,1.0,1.0,hard,all,0.0,none,0,0.5327506065368652,0.4838815629482269,393,2026-03-15 21:58:30
difficulty,DLinear,ETTm1,96,2023,mixed,1.0,1.0,hard,all,0.0,none,0,0.5361039042472839,0.4844086170196533,541,2026-03-15 22:02:16
difficulty,DLinear,ETTm1,336,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5001472234725952,0.4938491582870483,662,2026-03-15 22:04:18
difficulty,DLinear,ETTm1,336,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5033073425292969,0.4955461919307709,764,2026-03-15 22:07:20
