experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
bundle,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.4875775575637817,0.4918621182441711,112,2026-03-17 21:48:46
bundle,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.4888388514518738,0.4927305877208709,127,2026-03-17 21:51:00
bundle,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.4880305230617523,0.4918589293956756,125,2026-03-17 21:51:17
bundle,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.5252954363822937,0.5258855223655701,194,2026-03-17 21:54:40
bundle,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.525867760181427,0.5263602137565613,231,2026-03-17 21:55:34
bundle,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.4918520152568817,0.5026949644088745,85,2026-03-17 21:56:31
bundle,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.4970325231552124,0.5059252977371216,67,2026-03-17 21:57:08
bundle,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.4913657009601593,0.5019496083259583,204,2026-03-17 21:58:17
bundle,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.4913657009601593,0.5019496083259583,96,2026-03-17 21:58:33
bundle,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.6025663614273071,0.5577771067619324,92,2026-03-17 22:00:31
bundle,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,VE,0.0,none,0,0.5369479060173035,0.484318196773529,227,2026-03-17 22:01:40
bundle,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.6054626703262329,0.5589888095855713,92,2026-03-17 22:02:30
bundle,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,VE,0.0,none,0,0.5371894836425781,0.4841744601726532,309,2026-03-17 22:02:43
bundle,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.5978778004646301,0.5536020994186401,104,2026-03-17 22:03:50
bundle,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,VE,0.0,none,0,0.5365148186683655,0.4836815595626831,316,2026-03-17 22:03:59
bundle,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.6520397067070007,0.5919173955917358,103,2026-03-17 22:06:09
bundle,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.6439371705055237,0.5879205465316772,101,2026-03-17 22:08:16
bundle,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.6439371705055237,0.5879205465316772,319,2026-03-17 22:08:29
bundle,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.6445392370223999,0.5872729420661926,345,2026-03-17 22:08:41
bundle,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.6451833844184875,0.5880489349365234,303,2026-03-17 22:09:19
bundle,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.6429005265235901,0.5875312685966492,98,2026-03-17 22:10:20
bundle,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,VE,0.0,none,0,0.5878126621246338,0.517102062702179,377,2026-03-17 22:15:12
bundle,DLinear,ETTm1,96,2021,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.3835431635379791,0.4270415008068084,308,2026-03-17 22:15:54
bundle,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,VE,0.0,none,0,0.5844519138336182,0.5151543617248535,593,2026-03-17 22:19:01
bundle,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,VE,0.0,none,0,0.5863522887229919,0.5161106586456299,582,2026-03-17 22:19:27
bundle,DLinear,ETTm1,96,2023,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.383395791053772,0.4261972904205322,304,2026-03-17 22:21:24
bundle,DLinear,ETTm1,96,2022,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.383816510438919,0.4269754588603973,346,2026-03-17 22:21:25
bundle,DLinear,ETTm1,96,2021,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.5030261278152466,0.4980846643447876,174,2026-03-17 22:24:46
bundle,DLinear,ETTm1,96,2021,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.5030261278152466,0.4980846643447876,474,2026-03-17 22:27:23
bundle,DLinear,ETTm1,96,2022,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.5033181309700012,0.4977492988109588,503,2026-03-17 22:28:16
bundle,DLinear,ETTm1,96,2022,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.5033181309700012,0.4977492988109588,207,2026-03-17 22:28:39
bundle,DLinear,ETTm1,96,2023,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.5037953853607178,0.4972430765628814,463,2026-03-17 22:29:34
bundle,DLinear,ETTm1,96,2023,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.5037953853607178,0.4972430765628814,174,2026-03-17 22:30:44
bundle,DLinear,ETTm1,336,2021,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.455882579088211,0.4622949361801147,290,2026-03-17 22:36:01
bundle,DLinear,ETTm1,96,2022,mixed,1.0,1.0,uniform,VE,0.0,none,0,0.5995886921882629,0.5044040083885193,625,2026-03-17 22:39:30
bundle,DLinear,ETTm1,96,2021,mixed,1.0,1.0,uniform,VE,0.0,none,0,0.6036266088485718,0.5079778432846069,754,2026-03-17 22:41:17
bundle,DLinear,ETTm1,336,2022,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.4557381570339203,0.4625493884086609,290,2026-03-17 22:41:17
bundle,DLinear,ETTm1,96,2023,mixed,1.0,1.0,uniform,VE,0.0,none,0,0.6036882400512695,0.5085217356681824,745,2026-03-17 22:42:25
bundle,DLinear,ETTm1,336,2023,mixed,1.0,1.0,uniform,ST,0.0,none,0,0.4579057693481445,0.463763028383255,283,2026-03-17 22:44:40
bundle,DLinear,ETTm1,336,2021,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.6002529859542847,0.5568956732749939,181,2026-03-17 22:48:08
bundle,DLinear,ETTm1,336,2022,mixed,1.0,1.0,uniform,LM,0.0,none,0,0.5660181045532227,0.5386593341827393,218,2026-03-17 22:52:13
bundle,DLinear,ETTm1,336,2022,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.5660181045532227,0.5386593341827393,743,2026-03-17 22:54:07
bundle,DLinear,ETTm1,336,2021,mixed,1.0,1.0,uniform,NR,0.0,none,0,0.6002529859542847,0.5568956732749939,762,2026-03-17 22:54:25
