experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
curriculum,DLinear,ETTh1,96,2021,anneal,1.0,1.0,uniform,all,0.0,hard,5,0.5435509085655212,0.4973118901252746,136,2026-03-19 11:30:43
curriculum,DLinear,ETTh1,96,2022,anneal,1.0,1.0,uniform,all,0.0,hard,5,0.5439757704734802,0.4957360923290252,130,2026-03-19 11:33:20
curriculum,DLinear,ETTh1,96,2023,anneal,1.0,1.0,uniform,all,0.0,hard,5,0.5456883311271667,0.4981332719326019,140,2026-03-19 11:34:06
curriculum,DLinear,ETTh1,96,2021,anneal,1.0,1.0,uniform,all,0.0,gradual,5,0.4529538452625274,0.4526020884513855,166,2026-03-19 11:36:33
curriculum,DLinear,ETTh1,96,2022,anneal,1.0,1.0,uniform,all,0.0,gradual,5,0.4559519588947296,0.4548301100730896,150,2026-03-19 11:37:02
curriculum,DLinear,ETTh1,96,2021,anneali,1.0,1.0,uniform,all,0.0,hard,5,0.4022569954395294,0.4192651510238647,118,2026-03-19 11:39:26
curriculum,DLinear,ETTh1,96,2023,anneal,1.0,1.0,uniform,all,0.0,gradual,5,0.4519840180873871,0.4518609642982483,186,2026-03-19 11:40:05
curriculum,DLinear,ETTh1,96,2022,anneali,1.0,1.0,uniform,all,0.0,hard,5,0.405620813369751,0.4210272133350372,131,2026-03-19 11:42:02
curriculum,DLinear,ETTh1,96,2023,anneali,1.0,1.0,uniform,all,0.0,hard,5,0.4020131826400757,0.4190530478954315,113,2026-03-19 11:42:24
curriculum,DLinear,ETTh1,96,2021,anneali,1.0,1.0,uniform,all,0.0,gradual,5,0.4011104702949524,0.4160751700401306,53,2026-03-19 11:43:21
curriculum,DLinear,ETTh1,96,2022,anneali,1.0,1.0,uniform,all,0.0,gradual,5,0.4011566936969757,0.4163964092731476,51,2026-03-19 11:43:41
curriculum,DLinear,ETTh1,96,2023,anneali,1.0,1.0,uniform,all,0.0,gradual,5,0.3996228873729706,0.4148948788642883,57,2026-03-19 11:44:44
curriculum,DLinear,ETTh1,336,2021,anneal,1.0,1.0,uniform,all,0.0,hard,5,0.5976613759994507,0.5314778089523315,213,2026-03-19 11:47:39
curriculum,DLinear,ETTh1,336,2022,anneal,1.0,1.0,uniform,all,0.0,hard,5,0.5964130163192749,0.5304379463195801,214,2026-03-19 11:48:44
curriculum,DLinear,ETTh1,336,2023,anneal,1.0,1.0,uniform,all,0.0,hard,5,0.5987620949745178,0.5321384072303772,219,2026-03-19 11:51:45
curriculum,DLinear,ETTh1,336,2022,anneal,1.0,1.0,uniform,all,0.0,gradual,5,0.528886616230011,0.4959361553192138,262,2026-03-19 11:53:32
curriculum,DLinear,ETTh1,336,2021,anneal,1.0,1.0,uniform,all,0.0,gradual,5,0.528387188911438,0.4958725869655609,292,2026-03-19 11:53:45
curriculum,DLinear,ETTh1,336,2022,anneali,1.0,1.0,uniform,all,0.0,hard,5,0.4882356524467468,0.4661979377269745,114,2026-03-19 11:56:06
