experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
latent,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4455422461032867,0.4486408829689026,186,2026-03-20 09:00:19
latent,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4465624094009399,0.4493256211280823,169,2026-03-20 09:03:34
latent,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.447266161441803,0.4510000646114349,165,2026-03-20 09:06:45
latent,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,all,0.3,none,0,0.4387812316417694,0.444425880908966,181,2026-03-20 09:10:12
latent,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,all,0.3,none,0,0.4398123621940613,0.4454048275947571,167,2026-03-20 09:13:26
latent,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,all,0.3,none,0,0.44084033370018,0.4469681084156036,170,2026-03-20 09:18:33
latent,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,all,0.5,none,0,0.4341519176959991,0.4416935741901397,183,2026-03-20 09:22:02
latent,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,all,0.5,none,0,0.435001403093338,0.4422386586666107,170,2026-03-20 09:25:19
latent,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,all,0.5,none,0,0.436215877532959,0.4439469575881958,166,2026-03-20 09:26:48
latent,DLinear,ETTh1,96,2021,mixed,1.0,1.0,uniform,all,0.7,none,0,0.428711473941803,0.4378010928630829,177,2026-03-20 09:28:42
latent,DLinear,ETTh1,96,2022,mixed,1.0,1.0,uniform,all,0.7,none,0,0.4297120869159698,0.4387679994106293,169,2026-03-20 09:30:03
latent,DLinear,ETTh1,96,2023,mixed,1.0,1.0,uniform,all,0.7,none,0,0.4310591220855713,0.4407067596912384,161,2026-03-20 09:31:50
latent,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5302525758743286,0.4978751242160797,172,2026-03-20 09:32:08
latent,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5273934006690979,0.4976356327533722,214,2026-03-20 09:34:03
latent,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,all,0.3,none,0,0.5270363688468933,0.4966133832931518,171,2026-03-20 09:35:25
latent,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5193401575088501,0.4883029758930206,313,2026-03-20 09:37:29
latent,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,all,0.3,none,0,0.5222082734107971,0.4941422045230865,213,2026-03-20 09:38:02
latent,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,all,0.5,none,0,0.5232102870941162,0.4940351843833923,161,2026-03-20 09:38:48
latent,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,all,0.3,none,0,0.5137593746185303,0.4866677820682525,325,2026-03-20 09:41:16
latent,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,all,0.5,none,0,0.5187654495239258,0.4919437766075134,202,2026-03-20 09:41:18
latent,DLinear,ETTh1,336,2021,mixed,1.0,1.0,uniform,all,0.7,none,0,0.5181251168251038,0.4902570843696594,182,2026-03-20 09:42:16
latent,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,all,0.5,none,0,0.510433554649353,0.4845582246780395,334,2026-03-20 09:44:02
latent,DLinear,ETTh1,336,2022,mixed,1.0,1.0,uniform,all,0.7,none,0,0.5148553848266602,0.4893432557582855,201,2026-03-20 09:45:03
latent,DLinear,ETTh1,336,2023,mixed,1.0,1.0,uniform,all,0.7,none,0,0.510433554649353,0.4845582246780395,220,2026-03-20 09:45:24
latent,DLinear,ETTm1,96,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4793967008590698,0.4586910307407379,394,2026-03-20 09:49:16
latent,DLinear,ETTm1,96,2021,mixed,1.0,1.0,uniform,all,0.3,none,0,0.4797055721282959,0.460829883813858,387,2026-03-20 09:52:17
latent,DLinear,ETTm1,96,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.480939507484436,0.4597392976284027,515,2026-03-20 09:54:04
latent,DLinear,ETTm1,96,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.4805536866188049,0.461593359708786,595,2026-03-20 09:54:24
latent,DLinear,ETTm1,96,2021,mixed,1.0,1.0,uniform,all,0.5,none,0,0.4720280468463897,0.4555074572563171,397,2026-03-20 09:56:19
latent,DLinear,ETTm1,96,2023,mixed,1.0,1.0,uniform,all,0.3,none,0,0.475201666355133,0.4544157087802887,513,2026-03-20 09:56:52
latent,DLinear,ETTm1,96,2022,mixed,1.0,1.0,uniform,all,0.3,none,0,0.473041296005249,0.4557836353778839,667,2026-03-20 09:58:25
latent,DLinear,ETTm1,96,2023,mixed,1.0,1.0,uniform,all,0.5,none,0,0.4662825763225555,0.4494672119617462,321,2026-03-20 09:59:51
latent,DLinear,ETTm1,96,2021,mixed,1.0,1.0,uniform,all,0.7,none,0,0.4647199511528015,0.4517868161201477,385,2026-03-20 10:01:15
latent,DLinear,ETTm1,96,2022,mixed,1.0,1.0,uniform,all,0.5,none,0,0.4641126990318298,0.4512133300304413,578,2026-03-20 10:02:22
latent,DLinear,ETTm1,96,2022,mixed,1.0,1.0,uniform,all,0.7,none,0,0.4641126990318298,0.4512133300304413,384,2026-03-20 10:03:10
latent,DLinear,ETTm1,96,2023,mixed,1.0,1.0,uniform,all,0.7,none,0,0.4650195240974426,0.4512090384960174,538,2026-03-20 10:06:16
latent,DLinear,ETTm1,336,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5343811511993408,0.4959568381309509,671,2026-03-20 10:10:03
latent,DLinear,ETTm1,336,2021,mixed,1.0,1.0,uniform,all,0.3,none,0,0.5343121290206909,0.4921120107173919,643,2026-03-20 10:13:32
latent,DLinear,ETTm1,336,2023,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5314323306083679,0.4919198155403137,760,2026-03-20 10:14:21
latent,DLinear,ETTm1,336,2022,mixed,1.0,1.0,uniform,all,0.3,none,0,0.5281670689582825,0.4875657558441162,873,2026-03-20 10:18:09
latent,DLinear,ETTm1,336,2023,mixed,1.0,1.0,uniform,all,0.3,none,0,0.5248986482620239,0.4879618883132934,756,2026-03-20 10:19:18
latent,DLinear,ETTm1,336,2021,mixed,1.0,1.0,uniform,all,0.5,none,0,0.5188539028167725,0.4869901835918426,650,2026-03-20 10:21:19
latent,DLinear,ETTm1,336,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.5280647873878479,0.4905748963356018,1273,2026-03-20 10:21:31
latent,DLinear,ETTm1,336,2023,mixed,1.0,1.0,uniform,all,0.5,none,0,0.517211377620697,0.4836672246456146,749,2026-03-20 10:24:22
latent,DLinear,ETTm1,336,2021,mixed,1.0,1.0,uniform,all,0.7,none,0,0.5188539028167725,0.4869901835918426,637,2026-03-20 10:24:37
latent,DLinear,ETTm1,336,2022,mixed,1.0,1.0,uniform,all,0.5,none,0,0.52020663022995,0.4862171113491058,859,2026-03-20 10:25:33
latent,DLinear,ETTm1,336,2023,mixed,1.0,1.0,uniform,all,0.7,none,0,0.517211377620697,0.4836672246456146,773,2026-03-20 10:28:19
latent,DLinear,ETTm1,336,2022,mixed,1.0,1.0,uniform,all,0.7,none,0,0.52020663022995,0.4862171113491058,913,2026-03-20 10:30:01
latent,DLinear,Weather,96,2021,mixed,1.0,1.0,uniform,all,0.0,none,0,0.1989662051200866,0.2731770277023315,1075,2026-03-20 10:34:11
latent,DLinear,Weather,96,2021,mixed,1.0,1.0,uniform,all,0.3,none,0,0.2004247009754181,0.2768625020980835,1012,2026-03-20 10:38:38
latent,DLinear,Weather,96,2021,mixed,1.0,1.0,uniform,all,0.5,none,0,0.2004247009754181,0.2768625020980835,1064,2026-03-20 10:42:47
latent,DLinear,Weather,96,2022,mixed,1.0,1.0,uniform,all,0.0,none,0,0.1973251402378082,0.2718962728977203,1461,2026-03-20 10:42:58
