experiment_group,model,dataset,pred_len,seed,data_mode,synth_ratio,sparsity,difficulty_mode,bundle,p_latent_factor,anneal_strategy,anneal_epoch,mse,mae,train_time,timestamp
cacheablation,PatchTST,ETTh1,96,2021,mixed,1.0,1.0,uniform,ambiguous,0.0,none,0,0.4661169946193695,0.458217591047287,107,2026-04-11 14:13:54
cacheablation,PatchTST,ETTh1,96,2022,mixed,1.0,1.0,uniform,cache0,0.0,none,0,0.4427136480808258,0.4413410425186157,117,2026-04-11 14:14:04
cacheablation,PatchTST,ETTh1,96,2023,mixed,1.0,1.0,uniform,cache0,0.0,none,0,0.512079119682312,0.4804985523223877,145,2026-04-11 14:14:32
cacheablation,PatchTST,ETTh1,96,2022,mixed,1.0,1.0,uniform,cache100,0.0,none,0,0.4643730223178863,0.4575231075286865,110,2026-04-11 14:15:44
cacheablation,PatchTST,ETTh1,96,2023,mixed,1.0,1.0,uniform,ambiguous,0.0,none,0,0.4537939429283142,0.4477804899215698,151,2026-04-11 14:16:35
cacheablation,PatchTST,ETTh1,336,2021,mixed,1.0,1.0,uniform,cache100,0.0,none,0,0.5135133862495422,0.4822935461997986,1395,2026-04-11 14:40:35
cacheablation,PatchTST,ETTh1,336,2021,mixed,1.0,1.0,uniform,cache0,0.0,none,0,0.5128191709518433,0.4816147685050964,1969,2026-04-11 14:47:21
cacheablation,PatchTST,ETTh1,336,2022,mixed,1.0,1.0,uniform,cache0,0.0,none,0,0.5508240461349487,0.5001096129417419,2162,2026-04-11 14:51:46
cacheablation,PatchTST,ETTh1,336,2023,mixed,1.0,1.0,uniform,cache0,0.0,none,0,0.6041467785835266,0.5319808721542358,2218,2026-04-11 14:53:33
cacheablation,PatchTST,ETTh1,336,2023,mixed,1.0,1.0,uniform,cache500,0.0,none,0,0.5483258366584778,0.5005295872688293,1029,2026-04-11 15:08:56
cacheablation,PatchTST,ETTh1,336,2022,mixed,1.0,1.0,uniform,cache100,0.0,none,0,0.5434409976005554,0.4961238801479339,1747,2026-04-11 15:09:42
cacheablation,PatchTST,ETTh1,336,2023,mixed,1.0,1.0,uniform,cache100,0.0,none,0,0.5448715686798096,0.4984569549560547,1497,2026-04-11 15:12:18
cacheablation,PatchTST,ETTm1,96,2021,mixed,1.0,1.0,uniform,ambiguous,0.0,none,0,0.3948866724967956,0.4132101237773895,1313,2026-04-11 15:15:26
cacheablation,PatchTST,ETTm1,96,2022,mixed,1.0,1.0,uniform,cache0,0.0,none,0,0.3972557783126831,0.4135020673274994,635,2026-04-11 15:19:31
cacheablation,PatchTST,ETTm1,96,2023,mixed,1.0,1.0,uniform,cache0,0.0,none,0,0.3873153626918793,0.4016727209091186,606,2026-04-11 15:19:48
cacheablation,PatchTST,ETTm1,96,2022,mixed,1.0,1.0,uniform,cache100,0.0,none,0,0.3937266767024994,0.4121922850608825,426,2026-04-11 15:22:32
cacheablation,PatchTST,ETTm1,96,2023,mixed,1.0,1.0,uniform,cache100,0.0,none,0,0.3925997018814087,0.4110381603240967,490,2026-04-11 15:24:29
cacheablation,PatchTST,ETTm1,96,2023,mixed,1.0,1.0,uniform,cache500,0.0,none,0,0.4043306708335876,0.4171222150325775,925,2026-04-11 15:34:56
cacheablation,PatchTST,ETTm1,336,2022,mixed,1.0,1.0,uniform,cache0,0.0,none,0,0.461440235376358,0.4447323083877563,6274,2026-04-11 17:07:06
cacheablation,PatchTST,ETTm1,336,2021,mixed,1.0,1.0,uniform,ambiguous,0.0,none,0,0.4731922149658203,0.4502835273742676,6763,2026-04-11 17:12:31
cacheablation,PatchTST,ETTm1,336,2023,mixed,1.0,1.0,uniform,cache0,0.0,none,0,0.5275974869728088,0.4748012721538543,7273,2026-04-11 17:25:43
cacheablation,PatchTST,ETTm1,336,2023,mixed,1.0,1.0,uniform,ambiguous,0.0,none,0,0.4868512153625488,0.4564728736877441,7892,2026-04-11 19:18:39
